Selma serves as a pointed and poignant riposte to our current historical moment. It's an important film about an important story. It deserves to be seen, shared, discussed, and, like the events it depicts, never forgotten.|Fresh
What makes Selma a truly fine film is the imagery we see.|Fresh
Director Ava DuVernay has crafted an impressive film that doesn't just chronicle the events in Selma, but serves as an impressive portrait of King both as a leader in the civil rights movement and a flawed family man.|Fresh
From the intriguing backroom politics to the sacrifices made during the era, director Ava DuVernay and screenwriter Paul Webb turns a well-documented history lesson into essential cinema.|Fresh
Selma rejects... the false ingenuity of the oscarizable biopic, to bet on a polyphonic story, where Dr. King becomes a cohesive element of a series of social agents essential for a change. [Full review in Spanish]|Fresh
Selma is decidedly matter-of-fact and yet it bursts with emotion. When confronted with scenes of shocking brutality, DuVernay knows exactly when to turn the camera away.|Fresh
It seems the reason we haven't yet had a major King biopic is because cinema was waiting for a director to make a film as worthy as the man himself - Ava DuVernay has stepped up to the daunting task and she has succeeded effortlessly.|Fresh
Nevertheless, the performances are uniformly excellent with Oyelowo conveying both the iconic magnetism and human-sized modesty of King's personality.|Fresh
One of Selma's clearest intentions is the promotion of interracial unity that is necessary when abuses have been imposed on any social or ethnic group. [Full review in Spanish]|Fresh
With a couple of feature films on her resume, Selma is the film that will probably take off director Ava DuVernay's career. [Full review in Spanish]|Fresh
Selma serves as a pointed and poignant riposte to our current historical moment. It's an important film about an important story. It deserves to be seen, shared, discussed, and, like the events it depicts, never forgotten.|Fresh
What makes Selma a truly fine film is the imagery we see.|Fresh
Director Ava DuVernay has crafted an impressive film that doesn't just chronicle the events in Selma, but serves as an impressive portrait of King both as a leader in the civil rights movement and a flawed family man.|Fresh
From the intriguing backroom politics to the sacrifices made during the era, director Ava DuVernay and screenwriter Paul Webb turns a well-documented history lesson into essential cinema.|Fresh
Selma rejects... the false ingenuity of the oscarizable biopic, to bet on a polyphonic story, where Dr. King becomes a cohesive element of a series of social agents essential for a change. [Full review in Spanish]|Fresh
Selma is decidedly matter-of-fact and yet it bursts with emotion. When confronted with scenes of shocking brutality, DuVernay knows exactly when to turn the camera away.|Fresh
It seems the reason we haven't yet had a major King biopic is because cinema was waiting for a director to make a film as worthy as the man himself - Ava DuVernay has stepped up to the daunting task and she has succeeded effortlessly.|Fresh
Nevertheless, the performances are uniformly excellent with Oyelowo conveying both the iconic magnetism and human-sized modesty of King's personality.|Fresh
One of Selma's clearest intentions is the promotion of interracial unity that is necessary when abuses have been imposed on any social or ethnic group. [Full review in Spanish]|Fresh
With a couple of feature films on her resume, Selma is the film that will probably take off director Ava DuVernay's career. [Full review in Spanish]|Fresh
Director Ava DuVernay retains a firm grasp throughout, balancing the epic and intimate, personal and political.|Fresh
America takes another halting step towards confronting its racist past with this solid, if dry, look at a pivotal moment in the Civil Rights Movement.|Fresh
DuVernay and Webb ambitiously dramatize all the intricacies, detours and compromises a wide-scale social justice movement entails, shining stark light on backroom deals, FBI schemes and even rivalries among various pockets of grass-roots rebellion.|Fresh
Portrait of leader with crowd in the background. Martin L. King's speeches are again relevant. [Full Review in Spanish]|Fresh
An urgent, thought-provoking and timely history movingly brought to life.|Fresh
Selma stands as a rigorous film that does justice to the figure of Martin Luther King. [Full review in Spanish]|Fresh
Without being a great movie, Selma is a more than worthy historical product. [Full review in Spanish]|Fresh
Excellent acting, very good directing, a good tight script -- a little bit of pacing issues and... other characters are nowhere near as investing as Martin Luther King is.|Fresh
Selma convinces that this is a tale of transcendence instead of hardship; triumph rather than defeat. And it's a story whose resonance is ever so desperately needed in the pervasive now.|Fresh
DuVernay's film is too effective on its own dramatic terms for it to be reduced simply to an allegory for Where We Are Today, yet it's also tremendously encouraging for anyone who wonders if there's any hope for change.|Fresh
While there has been some streamlining of the facts for the sake of storytelling efficiency, an outraged and righteous heart beats strongly throughout.|Fresh
There have been surprisingly few cinematic renderings of Martin Luther King Jr's legacy, but despite the lack of competition, British actor David Oyelowo's embodiment of the great man is simply superb.|Fresh
If you don't mind the technical confusion it's a gripping story, and a great credit to DuVernay and co-writer Paul Webb who were unable to use King's original speeches for copyright reasons.|Fresh
Ava DuVernay's Selma is a beautifully observed drama of public and private lives, of personal narratives and historic moments.|Fresh
DuVernay, with just her third feature film, knows how to marshal the moments that will become history, making her own iconic images.|Fresh
An important and necessary film. [Full Review in Spanish]|Fresh
The structure with which the film is designed turns out to be as beneficial and intriguing as it is unsatisfactory and imprecise. [Full Review in Spanish]|Fresh
Listen to Common's track over the final credits. This movie is continuing a conversation that America cannot ignore.|Fresh
Selma is an always-gripping, often-bruising film, with fantastic performances and a solidly written script that contextualizes King's work in an effectively impactful way.|Fresh
Don't let this put you off Selma: it's a good, although not great movie, that steers a coherent path through a weighty historical moment.|Fresh
Director DuVernay has crafted a cinematic work for the ages, with a magnificent performance from Oyelowo.|Fresh
David Oyelowo is magnetic in his quiet, still performance and for those unfamiliar with these events, DuVernay's film is quite an education - it's also one historical drama with a very contemporary and real message.|Fresh
Looks better than the average historical drama; some top-notch performances, especially from Oyelowo; occasional moments of greatness|Fresh
With more nuance, this could have been a great film. As it is, it's merely a good one, but glittering with great performances.|Fresh
What Selma does particularly well is balance the ideological in-fighting within the Civil Rights movement.|Fresh
This heartfelt, compelling docudrama about Martin Luther King Jr. and the 1965 civil rights marches shows how far we've come.|Fresh
[Ava DuVernay] manages to get both the small and the big moments. Thiis at one of the best movies of the year.|Fresh
I this movie has some of the most powerful moments I've seen I think all year.|Fresh
What a bold stroke of sensory genius on [Ava DuVernary's] part to lull us into a false sense of security before slapping us in the face with the reality that Selma is not your usual biography.|Fresh
For all the wobbles, when the film reaches its climax the sheer force of history bends toward its fascinating mid-60s moment.|Fresh
Selma is the kind of expert filmmaking that's long been absent from an American tradition of historical reenactment-it manages the forgotten art of depicting the graceful human beings that made it history in the first place.|Fresh
Selma is an important movie, yes, but it is also a great one.|Fresh
Selma is a triumphant no hold barred and amazingly directed biopic, with a gripping depth in the story and strong performances all around especially from David Oyelowo.|Fresh
A vital and timely missive to a new generation that is as sobering as it is uplifting, all built around a performance of astounding accomplishment.|Fresh
There are no wasted moments here. There are no wasted characters. The film is as much about Martin Luther King Jr. as it is about the people he worked with, and fought for.|Fresh
Selma is a stark reminder that there are still plenty of injustices in the world that we'd like to think had gone away 50 years ago.|Fresh
It is a very, very good movie, beautifully shot by Bradford Young and deftly, almost astonishingly well-directed by relative newcomer Ava DuVernay.|Fresh
King's story is tragic, that's no spoiler. The film ends with a heavy heart, mixed with hope. Selma is an important film and it is profoundly moving.|Fresh
It captures something more elusive in our fictions and in our politics: the feeling and dynamic of a collective movement.|Fresh
Selma is worth the price of admission. The real gift of this film is reflection as well as hope that the new generations do not repeat history. [Full Review in Spanish]|Fresh
The film... assumes such vast prior knowledge of the civil rights movement that only a fraction of the audience will understand it. I scrambled to keep up, not helped by a cast of thousands and by Ava DuVernay's clumsy and flabby direction.|Rotten
Selma is not just a chronicle of historical developments; it aims to do more than just involve us in King's fight and move us as it unfolds. The film is very frequently moving, but it has higher, more intelligent goals than that.|Fresh
... its relevance grows in times when tempers are easily exasperated and the use of violence is privileged. Here it is, I insist, the best of Selma. [Full review in Spanish]|Fresh
A racially and politically charged biopic full of vivid violent imagery that is sure to haunt viewers, and an emotionally gripping performance from David Oyelowo as the spiritual civil rights movement leader|Fresh
Selma gives back to the Civil Rights movement its urgent and motivating anger, when too often the movement has been misrepresented as a cause of infinitely patient, infinitely forbearing martyrs.|Fresh
So, is Selma the film I wanted? No. Is is a good film? Yes, but it's not great.|Fresh
Selma forces a kind of reckoning for its viewer. At these moments, you won't be able to look away. And you shouldn't.|Fresh
Selma has the intimacy of a chamber piece, but not much sense of the mass character of the Selma protests, of the thousands of arrests that had been made even before King got to town.|Fresh
This story is powerful and inspiring stuff. The skill used to tell it should be witnessed by all.|Fresh
Selma is a vital, brutal, and inspiring film.|Fresh
[Selma] shows well the heartbreaking personal sacrifices made by those who wanted to be free, to be free at last, to cast their vote to effect change.|Fresh
As protests continue to erupt, it becomes ever more apparent that we need models of effective change. Selma fits that bill stirringly.|Fresh
One of the biggest triumphs of director DuVernay's Selma is how she reverses that erasure: Her film, which centers on the march Martin Luther King Jr. led in 1964, has women in nearly every frame.|Fresh
A monumental achievement.|Fresh
It's all highly measured and tasteful, a rare thing when cinema and sacred cows meet.|Fresh
The timeliness of the picture, coupled with the immediacy of the filmmaking, renders 'Selma' more powerful than even its skilled creators could've possibly intended.|Fresh
Sacha Baron Cohen at Harvard, as character Ali G: 'Some of you has probably never even seen a black man before, like that great civil rights leader, Martin Luther Vandross...'|Fresh
Selma isn't a discrete story of one moment in time that we can observe safely from the sidelines. It is all around us, every day.|Fresh
It's the quieter moments where Oyelowo really excels.|Fresh
By avoiding this film being a straight bio-pic or relationship drama, DuVernay has created a historical and political drama that resonates today.|Fresh
Oyelowo is the real deal, monumental in a film that isn't, muscling a middling historical drama into something absolutely worth seeing.|Fresh
... about the cost and the stakes of movement. Oyelowo plays King with grace and dignity, but he's always aware of what people are putting on the line.|Fresh
There are sections in Selma that I treasure.|Fresh
Taken as a whole, it's a deeply affecting, incendiary film and the most focused, accomplished biopic in a year of numerous offerings.|Fresh
Ultimately, what makes DuVernay's movie so good and necessary is that it actually lets us see the arc of the moral universe bending -- being bent, by human will -- toward justice.|Fresh
This isn't just one of the best movies of 2014. It's the most relevant and certainly the most important.|Fresh
The feeling that the victories of 1965 can be viewed through our 2015 eyes as unfulfilled promises gives Selma its present-day juice.|Fresh
By taking us inside King's inner circle, we discover how courage, conviction and political savvy bring about change.|Fresh
The result is a compellingly flesh-and-blood depiction of King; an absorbingly sophisticated account of his brand of non-violent activism.|Fresh
Most importantly, though, Selma reminds us where the violence started - with the insidious, everyday practice of denying African Americans their legal right to vote.|Fresh
