I left the theater, if not enchanted or swept away then at the very least diverted and perked up. I had been irrationally touched near the beginning by a shot of Stone standing alone on a hilly street in Los Angeles at night.|Fresh
La La Land captures the nostalgic joy of old Hollywood while infusing it with a generous helping of the new.|Fresh
Is it possible to fall in love with an entire film, as if it were a fellow human? Is it possible to feel nervous before (another) screening and elated after?|Fresh
La La Land doesn't just have Male Writer Syndrome, it has White Male Writer Syndrome, which prevents writer-director Damien Chazelle's film from living up to its glorious premise.|Rotten
Romantic and dreamy, colorful and elegant, melancholic, nostalgic and reflective. A breath of fresh air. [Full Review in Spanish]|Fresh
A romantic musical that blends Old Hollywood fantasy with modern reality.|Fresh
"""Beyond its music and costume, La La Land is retro in more ways than one."""|Rotten
Damien Chazelle gives this one a visual splendor that vibrates with style and never lacks substance from its wildly charming leads Emma Stone and Ryan Gosling.|Fresh
La La Land  is a melancholic ode to the 'fools who dream' and an overall majestic cinematic experience.|Fresh
...a vivid smorgasbord of color and life.|Fresh
I left the theater, if not enchanted or swept away then at the very least diverted and perked up. I had been irrationally touched near the beginning by a shot of Stone standing alone on a hilly street in Los Angeles at night.|Fresh
La La Land captures the nostalgic joy of old Hollywood while infusing it with a generous helping of the new.|Fresh
Is it possible to fall in love with an entire film, as if it were a fellow human? Is it possible to feel nervous before (another) screening and elated after?|Fresh
La La Land doesn't just have Male Writer Syndrome, it has White Male Writer Syndrome, which prevents writer-director Damien Chazelle's film from living up to its glorious premise.|Rotten
Romantic and dreamy, colorful and elegant, melancholic, nostalgic and reflective. A breath of fresh air. [Full Review in Spanish]|Fresh
A romantic musical that blends Old Hollywood fantasy with modern reality.|Fresh
"""Beyond its music and costume, La La Land is retro in more ways than one."""|Rotten
Damien Chazelle gives this one a visual splendor that vibrates with style and never lacks substance from its wildly charming leads Emma Stone and Ryan Gosling.|Fresh
La La Land  is a melancholic ode to the 'fools who dream' and an overall majestic cinematic experience.|Fresh
...a vivid smorgasbord of color and life.|Fresh
La La Land is cute, pretty and fabulously entertaining but it's not happy ever after. Hollywood has broken many hearts. There are dreams and then there's reality - but the pull of Hollywood always wins in the end.|Fresh
